country,event_type
Ukraine,45188
India,23382
Palestine,17933
Russia,12468
Syria,12242
Mexico,12171
Lebanon,10990
United States,9983
Myanmar,9653
Yemen,8913
Brazil,8593
Iraq,7959
Pakistan,7906
France,5941
Sudan,5666
Turkey,5122
Nigeria,4573
Germany,4412
South Korea,4380
Colombia,4129
Israel,4111
Iran,3290
Spain,3279
Cameroon,3266
Indonesia,3236
Morocco,3183
Kenya,2859
Bangladesh,2815
Italy,2686
Somalia,2652
Ethiopia,2430
Democratic Republic of Congo,2421
Venezuela,1866
South Africa,1863
Japan,1698
Canada,1697
Haiti,1689
Mali,1629
Poland,1502
Burkina Faso,1444
Argentina,1420
Nepal,1412
Bolivia,1407
Peru,1266
Chile,1126
Honduras,1035
Afghanistan,1026
Sweden,1000
Australia,920
United Kingdom,877
Philippines,855
Taiwan,801
Greece,791
China,747
Sri Lanka,737
Belgium,716
Paraguay,713
Bahrain,669
Kazakhstan,641
Niger,637
Madagascar,635
Mozambique,626
Netherlands,540
Tunisia,522
Ecuador,508
Portugal,500
South Sudan,495
Trinidad and Tobago,475
Bulgaria,425
Jamaica,424
Libya,398
Ireland,395
Central African Republic,392
Norway,376
Uganda,362
Finland,356
Romania,348
Armenia,342
Thailand,322
Denmark,303
Puerto Rico,298
Jordan,286
Papua New Guinea,285
Benin,282
Serbia,277
Guatemala,273
Burundi,269
Austria,268
Cyprus,263
Panama,254
New Zealand,241
Ghana,231
Georgia,229
Costa Rica,222
Malaysia,214
Mauritania,213
New Caledonia,212
Guinea,207
Czech Republic,205
Slovakia,192
Moldova,191
Senegal,174
Switzerland,163
Kyrgyzstan,160
Cuba,155
Hungary,148
North Macedonia,148
Mayotte,147
Croatia,147
Azerbaijan,145
Algeria,144
Martinique,128
Kosovo,127
Malawi,123
Montenegro,122
Bosnia and Herzegovina,113
Reunion,113
Egypt,112
Slovenia,110
El Salvador,110
Ivory Coast,110
Angola,107
Chad,106
Mauritius,95
Dominican Republic,89
Belarus,87
Guyana,82
Uzbekistan,80
Lithuania,80
Albania,79
Zimbabwe,79
Iceland,79
Tanzania,75
Cambodia,68
Nicaragua,66
Maldives,64
Comoros,64
Belize,59
Mongolia,59
Guadeloupe,54
Namibia,52
Latvia,47
Malta,47
Cape Verde,46
North Korea,46
Uruguay,42
Togo,39
Suriname,35
eSwatini,32
Gabon,30
Luxembourg,27
Zambia,25
Estonia,24
Liberia,24
French Polynesia,24
Guinea-Bissau,22
French Guiana,20
Antigua and Barbuda,14
Lesotho,14
Rwanda,13
Eritrea,13
Bahamas,13
Sierra Leone,11
Greenland,11
Fiji,10
Kuwait,10
Guam,9
Sao Tome and Principe,8
Tajikistan,8
East Timor,8
Saint Lucia,7
Gambia,6
Republic of Congo,5
Singapore,5
Djibouti,5
Curacao,5
Vietnam,5
Botswana,4
Oman,4
Monaco,4
Saudi Arabia,4
Sint Maarten,4
Faroe Islands,3
Wallis and Futuna,3
San Marino,3
Vanuatu,3
Vatican City,2
Dominica,2
Seychelles,2
Saint Pierre and Miquelon,2
Kiribati,2
Anguilla,1
Andorra,1
Bailiwick of Guernsey,1
Barbados,1
Bermuda,1
Bhutan,1
Cook Islands,1
Antarctica,1
Northern Mariana Islands,1
Marshall Islands,1
Liechtenstein,1
Samoa,1
Solomon Islands,1
Saint-Barthelemy,1
Saint-Martin,1
Qatar,1
Saint Vincent and the Grenadines,1
Tonga,1
Tuvalu,1
United Arab Emirates,1
